Actor,Movies
Mitra Hajjar,"Romantic Nostalgia, Mozahem, The Crime, Born Under Libra, Gharche sammi, Killing Mad Dogs, The Hunter, Orange Suit, Meeting the Parrot, I'm His Wife, Wishbone, It's Winter, Al-Ghazali: The Alchemist of Happiness, Mahoora, Rokhsareh, Anahita, Khakestar & Barf, Jonoun, Pink, Bazande, Katyusha, When I Became a Butterfly, Protest, Cry, Shabhaye Tehran, Farari, Secrets, Khak o atash, Cease Fire 2, Invitation, The Long Farewell, Gharibaneh"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Ryan Reynolds,"Definitely, Maybe, The Proposal, R.I.P.D., The Hitman's Bodyguard, Pokémon Detective Pikachu, Buying the Cow, Foolproof, Buried, The Captive, The Amityville Horror, Woman in Gold, Criminal, Ordinary Magic, Waiting..., Safe House, Chaos Theory, Turbo, Deadpool, Paper Man, The Voices, The Whale, 6 Underground, The In-Laws, Green Lantern, The Change-Up, Red Notice, Adventureland, Van Wilder, Finder's Fee, Free Guy, Fireflies in the Garden, Smokin' Aces, The Croods 2, The Nines, Blade: Trinity, The Hitman's Wife's Bodyguard, Game Changers Starring Ryan Reynolds, Life, Huntwatch, Mississippi Grind, The Croods, Self/less, Deadpool 2, Just Friends, X-Men Origins: Wolverine"
Hiroyuki Sanada,"The Dagger of Kamui, Kotaro makari-toru!, Inujini sesi mono, Onmyoji: The Yin Yang Master, Moeru yusha, Aegis, Murder on D Street, Kinkyu yobidashi - Emâjenshî kôru, Minamata, Sharaku, Ninja bugeicho momochi sandayu, East Meets West, Ninja in the Dragon's Den, Tugumi, Succession, Legend of Eight Samurai, Rush Hour 3, In the Line of Duty, Vengeance for Sale, Shogun's ninja, Dôtonborigawa, Nemuranai machi - Shinjuku same, Mr. Holmes, Chokugeki! Jigoku-ken, Kabamaru the Ninja, Docchini suruno, Mortal Kombat, First Love, Made in Japan, The Street of Desire, Mahjong Horoki, Yamai wa kikara: Byôin e ikô 2, 47 Ronin, Uneasy Encounters, The Ninja Wars, Hoero tekken, Kaitô Ruby, Rimeinzu: Utsukushiki yuusha-tachi, Byôin e ikô, Shômei kumagai gakkô, Round About Midnight, Life, The Promise, The Twilight Samurai, Tadon to chikuwa, Hero Interview, Bôkensha kamikaze"
Yuki Kazamatsuri,"Yasashii te, Okasare shigan, Ushiro kara mae kara, Seiteki hanzai, Yami ni dakarete, Onna kyôshi-gari, Chijoku no heya, Sadistic and Masochistic, Zoom Up: Sexual Crime Report, Yokujô Mankai: Wakazuma Dôsôkai, Akujo gundan, Onna kyôshi: Yogoreta hôkago, Sailor Suit and Machine Gun, Oazuke, Hoteru hime, Madam Scandal: 10-byo shinasete, Musashino shinju, Hadaka no itoko, Bishimai: Okasu, Aiyoku seikatsu: Yoru yo nurashite, Attacked Female Teacher, Ai no hakuchûmu, Siblings of the Cape, Masho no kaori, The Ninja Wars, Kyôryû wo horô!, Court of Zeus, Akai tôri-ame"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Bob Hoskins,"The Sleeping Dictionary, Super Mario Bros., Felicia's Journey, Sweet Liberty, The Long Good Friday, Who Framed Roger Rabbit, Doomsday, Last Orders, Sparkle, Beyond the Limit, Rainbow, Mona Lisa, Inserts, Mrs Henderson Presents, Made in Dagenham, Mermaids, Unleashed, The White River Kid, The Lonely Passion of Judith Hearne, Shattered, Cousin Bette, Go Go Tales, The Favour, the Watch and the Very Big Fish, Heart Condition, The Inner Circle, The Raggedy Rawney, The Secret Agent, Hook, Hollywoodland, Where Eskimos Live, Parting Shots, Beyond the Sea, Ruby Blue, Balto, Lassiter, Outside Bet, Captain Jack, Passed Away, Michael, Den of Lions, Will, Twenty Four Seven, A Prayer for the Dying"
Asia Argento,"Boarding Gate, New Rose Hotel, B. Monkey, Diamond 13, Perdiamoci di vista, The Last Mistress, The Keeper, Trauma, The Red Siren, On the Road to Femina, Scarlet Diva, Obsessive Rhythms, Last Days, The Heart Is Deceitful Above All Things, On War, Traveling Companion, Close Up, Go Go Tales, The Cult of JT LeRoy, Viola Kisses Everybody, Il cielo è sempre più blu, Alien Crystal Palace, The Executrix, The Stendhal Syndrome, Mother of Tears, Baciato dalla fortuna, Shongram, The Phantom of the Opera, Love Bites, xXx, Dracula 3D, Transylvania, De Generazione, Zoo, Land of the Dead, Close Friends, Islands"
Ivan Franek,"La leggenda di Bob Wind, Cloro, Unknown Hour, L'histoire d'une mère, In carne e ossa, The Silence of the Skylark, L'amore non basta, Ritual - Una storia psicomagica, Tulpa - Perdizioni mortali, Franco Marcone, Un Uomo in Piedi e la Signora Vestita di Nebbia, Burning in the Wind, Fuori dal coro, Bloody Richard, Smalltown, Italy, Upon My Skin, One Life, Maybe Two, Una piccola storia, Guarda in alto, I nostri passi diversi, Caged, Vodka Lemon, The Invisible Boy: Second Generation, Bolgia totale, Islands, Darkness"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Kiefer Sutherland,"The Reluctant Fundamentalist, Crazy Moon, Chicago Joe and the Showgirl, Young Guns II, Free to Rock, The Cowboy Way, Woman Wanted, 1969, Paradise Found, NASCAR: The IMAX Experience, The Bay Boy, The Killing Time, Cowboy Up, Dark City, Promised Land, River Queen, The Three Musketeers, Break Up, Mirrors, Renegades, Phone Booth, Bright Lights, Big City, Dead Heat, Amazing Stories, The Vanishing, Desert Saints, Hope in Heaven, To End All Wars, The Right Temptation, The Nutcracker Prince, Beat, Article 99, Flatliners, The Last Days of Frankie the Fly, The Wild, Pompeii, Flashback, Eye for an Eye, Freeway, Ground Control, Twin Peaks: The Missing Pieces, Melancholia, The Sentinel, Truth or Consequences, N.M., The Healthcare Movie, Taking Lives, After Alice, Names on the Cup, Behind the Red Door, Forsaken, Where Is Kyra?, Young Guns"
Janeane Garofalo,"The Search for John Gissing, Clay Pigeons, The MatchMaker, Hurricane of Fun: The Making of Wet Hot, Wet Hot American Summer, Bad Parents, The Bumblebee Flies Anyway, Dog Park, Werewolf Bitches from Outer Space, Dangerous Living: Coming Out in the Developing World, 3rd Street Blackout, The Independent, Barbershop Punk, General Education, Sweethearts, The Truth About Cats & Dogs, Bye Bye Love, The Wild, Jiminy Glick in Lalawood, Steal This Movie, Ash Tuesday, Reality Bites, Romy and Michele's High School Reunion, When Stand Up Stood Out, The Happys, Manhood, Never Before, Never Again: Behind the Scenes of Asssscat, A Little Game, Mystery Men, Satan, Hold My Hand, I Shot a Man in Vegas"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Tim Robbins,"Zathura: A Space Adventure, I.Q., The Player, Dark Waters, Tibet: Cry of the Snow Lion, Antitrust, Bull Durham, The Secret Life of Words, 45 Seconds of Laughter, Mission to Mars, The Truth About Charlie, Miss Firecracker, Five Corners, Tapeheads, Code 46, Mystic River, War of the Worlds, Post No Bills, The Hudsucker Proxy, Nothing to Lose, Luck, Trust & Ketchup: Robert Altman in Carver Country, The Typewriter, the Rifle & the Movie Camera, The Lucky Ones, Thanks for Sharing, Catch a Fire, Human Nature, Noise, Bob Roberts, Not in Our Name!, Cadillac Man, Howard the Duck, Arlington Road, Top Gun, Erik the Viking, Jacob's Ladder, Short Cuts, A Perfect Day, The Shawshank Redemption, Revenge of the Electric Car, The Day My God Died"
Om Puri,"Policegiri, Bazaar E Husn, Teen Thay Bhai, Mukhbiir, Chaar Sahibzaade, Zameer: The Awakening of a Soul, Iraada, The Ghazi Attack, Raat, An Actor Prepares, Billu, Ansh: The Deadly Part, Life Goes On, Tubelight, My Son the Fanatic, OMG: Oh My God!, Kurbaan, Tere Naal Love Ho Gaya, Kayedi, Aakanksha, Kash... Aap Hamare Hote, Bolo Raam, Aastha: In the Prison of Spring, Achanak, Raambhajjan Zindabaad, Mumbai Xpress, Droh Kaal, Farz, Khoobsurat, Arohan, Susman, Kushti, Ghashiram Kotwal, Paththar, Ghayal Once Again, The Hangman, The Gandhi Murder, The Zookeeper, Patang, Satyajit Ray, Kamaal Dhamaal Malamaal, The Mystic Masseur, Beparoa, Genesis, Action Replay, Kurukshetra, Call, Chaar Sahibzaade 2: Rise of Banda Singh Bahadur, Shagun, City of Joy, Gul Makai, Bollywood Calling, Brothers in Trouble, Code 46, Chup Chup Ke, My Little Devil, Ghaath, Aadupuliyattam, Na Ghar Ke Na Ghaat Ke, Seepeeyan, Aghaat, Smothered Voices, Darshana, Disco Dancer, East Is East, Don 2, Malamaal Weekly, Murde, Aakrosh, China Gate, Nasoor, Dhoop, Sam & Me, Project Marathwada, The Search, Jatt Boys Putt Jattan De, Gumnaam Hai Koi, Mere Baap Pehle Aap, Yeh Hai Lollipop, Kunwara, Maharathi, Kyun! Ho Gaya Na..., London Dreams, Little Terrors, Yaariyan, Kagaar: Life on the Edge, Angaar, Shrant, AK 47, Bhavni Bhavai, Son of Flower, Kismat Konnection, Chor Machaaye Shor, Current, Chor Chor Chhupja, Actor in Law, Such a Long Journey, Sanjhi, Hari Hondal Bargadar : Share Cropper, The King of Bollywood, Ek Ka Jawab Do, Puravrutham, Dulhan Hum Le Jayenge, Ashray, Victoria No. 203: Diamonds Are Forever, Baghi, Raavan, Waqt-Waqt Ki Baat, Dev, Ankuram, Antarnaad, Long Da Lishkara, Road to Sangam, Hum Farishte Nahin, Mr. Kabaadi, Aa Gaye Munde U.K. De, Trafficker, Ek Hi Maqsad, Mirch Masala, Maachis, Bekaraar, West Is West, The Hundred-Foot Journey, Singh Is King, Antaheen, Debshishu, Sava Ser Gehu, Mathangi, Chaar Din Ki Chandni, The Burning Season, Kalla Kalla Bachitko, Karm Yodha, Giddh: The Vulture, Is Pyaar Ko Kya Naam Doon, Chachi 420, New Delhi Times, Sankranti, Ardh Satya, In Custody, Deewaanapan, Baabarr, Chokh, Kucch Luv Jaisaa, Amar Joshi Shahid Ho Gaya, Leather Life, Heartless, Zor: Never Underestimate the Force, Pyaar Diwana Hota Hai, Lakshya, Lovesongs: Yesterday, Today & Tomorrow"
Shivarajkumar,"Ratha Sapthami, Chigurida Kanasu, Mavanige Thakka Aliya, Killing Veerappan, Modada Mareyalli, Srikanta, Shiva Mecchida Kannappa, Samyuktha, Jogayya, Jogi the King, Mrutunjaya, Mass Leader, Manamecchida Hudugi, Aasegobba Meesegobba, Nammoora Mandaara Hoove, Jodihskki, Ayushmanbava, Inspector Vikram, Bangara s/o Bangarada Manushya, Shivalinga, The Villain, Shiva Sainya, Aryan, Paramesha Panwala, AK 47, Vajrakaya, Ranaranga, Dore, Andar Bahar, Tamassu, Anand, Bhajarangi, Mufti, Janumada Jodi, Aithalakkadi, Belli, Maduve Agona Baa, Simhada Mari, Ade Raaga Ade Haadu, Mylari, Santheyalli Nintha Kabira, Midida Shruthi, Om, Kaddipudi, Sala Saheb, Cheluveye Ninna Nodalu, Rustum, Purushotthama, Aralida Hoovugalu, Lakshmi"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Gary Oldman,"Murder in the First, True Crime: The Movie, Romeo Is Bleeding, A Christmas Carol, The Fifth Element, Immortal Beloved, The Hitman's Bodyguard, Tinker Tailor Soldier Spy, Dreamland, Chattahoochee, Hannibal, Red Riding Hood, The Book of Eli, Track 29, Lost in Space, Criminal, One Night in Turin, Tau, Nobody's Baby, Dawn of the Planet of the Apes, RoboCop, Rain Fall, Man Down, Interstate 60: Episodes of the Road, The Courier, Paranoia, The Laundromat, The Contender, Léon: The Professional, Bram Stoker's Dracula, Mank, Sid and Nancy, The Space Between Us, JFK, The Unborn, Dylan Thomas, Darkest Hour, State of Grace, Hunter Killer, Sin, The Dark Knight Rises, Tiptoes, Rosencrantz & Guildenstern Are Dead, The Scarlet Letter, Child 44, The Backwoods, The Woman in the Window, Mary, Prick Up Your Ears, Dead Fish, Air Force One, Criminal Law"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Fred Ward,"The Vivero Letter, The Player, UFOria, Big Business, Chain Reaction, Equinox, Timerider: The Adventure of Lyle Swann, Red Team, Remo Williams: The Adventure Begins, The Chaos Factor, Off Limits, Luck, Trust & Ketchup: Robert Altman in Carver Country, Summer Catch, Thunderheart, Southern Comfort, Swing Shift, The Blue Villa, Uncommon Valor, Tremors, The Prince of Pennsylvania, Dangerous Beauty, Henry & June, Two Small Bodies, Miami Blues, The Wild Stallion, Birdseye"
Powers Boothe,"Nick Nolte: No Exit, Rapid Fire, Stalingrad, Frailty, Sudden Death, Southern Comfort, Blue Sky, Guns, Girls and Gambling, Edison & Leo, The Final Season, The Emerald Forest, Angely smerti, Nixon, The Cold Eye (My Darling, Be Careful), Extreme Prejudice, A Breed Apart"
Sergey Nikonenko,"Vremya vashey zhizni, Stalingrad, V znak protesta, Zemlyaki, Shestoy, Chto nuzhno zhenshchine..., Zavtra byla voyna, Kitayskiy serviz, Ya kukla, Bryunetka za 30 kopeek, Pozdniye svidaniya, Lyubochka, Ptitsy nad gorodom, Korabl prisheltsev, Yesli mozhesh, prosti..., Deti ponedelnika, Tolko raz..., Rabe vumen, Tryn-trava, The Crimean Bridge. Made with Love!, Yolki-palki, Semyanin, Svidaniye, Khleb - imya sushchestvitelnoe, Piry Valtasara, ili noch so Stalinym, Sing Your Song, Poet, Greshnaya lyubov, Nelud, ili V rayu zapreshchena okhota, Chetirimata ot vagona, Pro lyubov, druzhbu i sud'bu, Mramornyy dom, Bes v rebro, Parade of the Planets, Interesting Men, Okhota zhit, Klassik, True Stories, Za oblakami - nebo, And in the Morning They Woke Up, Diamond in Chocolate, Inspektor GAI, Pryzhok"
Vladimir Steklov,"Bomzh (Bez opredelyonnogo mesta zhitelstva), Goryachaya tochka, Padenie, Tyghyryqtan zhol tapqan, Prigovor, Uvidet Parizh i umeret, Ya Vam bolshe ne veryu, Vory i prostitutki. Priz - polyot v kosmos, Kremlevskiye tayni XVI veka, Kriminalnyy kvartet, Korabl prisheltsev, Poshchyochina, kotoroy ne bylo, Wild Pigeon, Savoy, Vera, nadezhda, lyubov, Vory v zakone, Moy luchshiy drug, general Vasiliy, syn Iosifa, Vals zolotykh teltsov, Vam chto, nasha vlast ne nravitsya?!, Firma priklyucheniy, Ozhog, True Stories, Proisshestviye v Utinoozyorske"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Mickey Rourke,"Rumble Fish, Girl, 9½ Weeks, Johnny Handsome, Diner, WEAPONiZED, Out in Fifty, Nightmare Cinema, Shades, The Wrestler, Immortals, Ashby, The Pope of Greenwich Village, Point Blank, Java Heat, Killshot, War Pigs, Skin Traffik, Bob Lazar: Area 51 & Flying Saucers, Buffalo '66, Domino, Passion Play, The Informers, Desperate Hours, Bullet, Picture Claire, Exit in Red, Francesco, Wild Orchid, Homeboy, Bisping, Double Team, Another Nine & a Half Weeks, Angel Heart, Iron Man 2, Blunt Force Trauma, Harley Davidson and the Marlboro Man, Sin City, Alex Rider: Operation Stormbreaker, White Sands, Year of the Dragon, Generation Iron, Night Walk, Tiger, The Good Son: The Life of Ray Boom Boom Mancini, Barfly, F.T.W., A Prayer for the Dying, Sin City: A Dame to Kill For"
Ario Bayu,"27 Steps of May, Banda the Dark Forgotten Trail, 22 Menit, Macabre, The Queen of Black Magic, Gundala, 5 Cowok Jagoan, Java Heat, Sultan Agung: Tahta, Perjuangan, Cinta, Dilema, The Forbidden Door, The Returning, Soekarno, Drupadi, Melancholy Is a Movement, Crossroads: One Two Jaga, Impetigore, La tahzan, Catatan (Harian) Si Boy, Pesan dari surga, Red and White II: Blood of Eagles, Dead Time, Dead Mine, Buffalo Boys"
Rangga Djoned,"Sanubari Jakarta, 18+, Dilema"
Deddy Corbuzier,"The Mentalist, Sanubari Jakarta, Triangle the Dark Side"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Steve Guttenberg,"Alternate Universe: A Rescue Mission, Airborne, Police Academy 2: Their First Assignment, Jackson, The Bedroom Window, Police Academy 4: Citizens on Patrol, Home Team, Domino One, The Man Who Wasn't There, Diner, Zeus and Roxanne, Private Valentine: Blonde & Dangerous, I Heart Shakey, Bad Medicine, 3 Men and a Little Lady, Heckle, A Novel Romance, P.S. Your Cat Is Dead!, After Party, Quick to Duck, Police Academy 3: Back in Training, The Chicken Chronicles, The Boyfriend School, Ay Lav Yu, 3 Men and a Baby, Mojave Phone Booth, Cornered!, Making Change, Trauma Center, Overdrive, Police Academy, Short Circuit, Fatal Rescue, Help Me, Help You, The Big Green, Lookin' Up, High Spirits, It Takes Two, Surrender"
Vivica A. Fox,"Solid State, Junkyard Dog, bUMS, 6 Ways to Die, Crossbreed, REV, Chocolate City: Vegas, Boat Trip, Fire and Rain, Whitney Houston Legend, San Saba, Mercenaries, Humble Pie, A Christmas Wedding, Private Valentine: Blonde & Dangerous, 2nd Chance for Christmas, Caught on Tape, Set It Off, Garlic & Gunpowder, Lord, All Men Can't Be Dogs, In the Hive, Why Do Fools Fall in Love, Caretakers, Two Can Play That Game, Soul Food, A Holiday Heist, Cool Cat Saves the Kids, Black Gold, Providence Island, Kill Bill: The Whole Bloody Affair, Jason's Letter, So This Is Christmas, Three Can Play That Game, Kingdom Come, There's a Stranger in My House, Doctor Bello, Assassin's Game, Testimonies of Faith: Humble Journey's, Little Secrets, Carter High, Juwanna Mann, Booty Call, The Salon, 30 Days in Atlanta, The Pastor and Mrs. Jones, Trapped: Haitian Nights, Searching for Angels, Cool Cat Kids Superhero: The Movie - A Kid's Anti-Bullying Movie by Derek Savage, 4Got10, Queen City, Greencard Warriors, 1 Out of 7, It's Not You, It's Me, Black Limousine, Chocolate City, Golden Shoes, My Nappy Roots: A Journey Through Black Hair-itage, The Sky Princess, The Wrong Friend, The Power of Love, Cover"
Evan Brinkman,"The Chrysalis Tide, The Owl, Doctor Bello"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Robert Patrick,"The Vivero Letter, Back Roads, The Marine, Honest Thief, Terminator 2: Judgment Day, Fire in the Sky, Renegade Force, Hong Kong 97, Equalizer 2000, Body Shot, Walk the Line, Last Gasp, Mr. Sophistication, Safe House, Behind Enemy Lines, A Texas Funeral, The Black Waters of Echo's Pond, Ladder 49, Last Rampage: The Escape of Gary Tison, Alien Trespass, Decoy, Angels Don't Sleep Here, Eye of the Eagle, Tell, Zero Tolerance, Good Day for It, Lonely Street, Jayne Mansfield's Car, Endless Love, Asylum, Caged Animal, Tone-Deaf, The Rising Hawk, SGT. Will Gardner, Double Dragon, Shogun Cop, The Cool Surface, Holbrook/Twain: An American Odyssey, The Road Within, Ask Me Anything, Kill the Messenger, The Only Thrill, Bridge to Terabithia, Mexico City, Future Hunters"
Charlotte Lewis,"Dial: Help, Healing Hurts, Men of War, The Golden Child, Every Dog Has Its Day, Tripwire, Storyville, Stranger in the House, Hey DJ, Decoy, Navajo Blues"
Larry Holden,"Open Vacancy, The Outsider, Blood Was Everywhere, Worth Fighting For, Every Dog Has Its Day"
