Actor,Movies
Rebecca Jenkins,"Whole New Thing, South of Wawa, Bye Bye Blues, Wilby Wonderful, The Famine Within, Family Reunion, Past Perfect, Marion Bridge"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Julia Roberts,"Ben Is Back, Eat Pray Love, Closer, Erin Brockovich, Conspiracy Theory, Ocean's Twelve, Everyone Says I Love You, Michael Collins, America's Sweethearts, Charlie Wilson's War, Runaway Bride, The Ant Bully, Ready to Wear, Valentine's Day, Ocean's Eleven, Mona Lisa Smile, Mother's Day, Pretty Woman, Mystic Pizza, Stepmom, August: Osage County, Dying Young, Steel Magnolias, Money Monster, Mirror Mirror, Secret in Their Eyes, Full Frontal, The Pelican Brief, The Mexican, Duplicity, Something to Talk About, Confessions of a Dangerous Mind, Hook, Wonder, Notting Hill, Sleeping with the Enemy, I Love Trouble, My Best Friend's Wedding, Charlotte's Web, Mary Reilly, Flatliners, Larry Crowne"
Patrick Bergin,"The Minnitts of Anabeg, Angela Mooney, Strength and Honour, Love Crimes, Mountains of the Moon, Map of the Human Heart, Dick Dickman P.I., The Proposition, Berserker, Babyface, Press Run, Train Set, A Kiss and a Promise, Ghostwood, Eva, Shark Week, High Explosive, Cause of Death, Suspicious Minds, Robin Hood, The Hummingbird Tree, Losing Faith, Perfect Day, Soft Deceit, The Island on Bird Street, When the Sky Falls, Absolute Fear, Secret of the Cave, Dance of the Steel Bars, We Still Steal the Old Way, Eye of the Beholder, Casanova's Last Stand, Songs for Amy, GrindHouse 2wo, Patriot Games, Birthday, Africa, Highway to Hell, Escape Velocity, Beneath Loch Ness, Amazons and Gladiators, Constance Smith - Hollywood Tragedy, Promise Her Anything, Merlin: The Return, Sleeping with the Enemy, The Lost World, False Prophets, The Far Side of Jericho, High Art, Low Life, Johnny Was, Roth, Lawnmower Man 2: Beyond Cyberspace, Cage, The Wee Man"
Patrick O'Donnell,"The Solution, Encore, Alcatraz, A Killer Next Door, Derelict, King for a Day, The Looking Glass, Roth, Daria, Babyface, Opus K, North Circular Road, The Inquiry, Tin Can Man, The Fading Light"
Derek Nelson,"Werewolves of the Third Reich, Alcatraz, A Killer Next Door, Survivorz, The Curse of Halloween Jack, The Manson Family Massacre, After Dark, D-Day Assassins, Slasher House 3, The Utah Cabin Murders, The Jonestown Haunting, Cleavers: Killer Clowns, Last Night of the Year"
Kevin Bacon,"Murder in the First, Telling Lies in America, My One and Only, X-Men: First Class, R.I.P.D., Pyrates, Footloose, Forty Deuce, The Woodsman, Rails & Ties, Holly Near: Singing For Our Lives, Original Motion Picture Soundtrack, Diner, The Darkness, Lemon Sky, Quicksilver, Digging to China, Trapped, Frost/Nixon, The Big Picture, Sleepers, The Air I Breathe, The River Wild, Cop Car, Drunk Stoned Brilliant Dead: The Story of the National Lampoon, Loverboy, Mystic River, My Dog Skip, Hollow Man, Eastwood Directs: The Untold Story, Hollywood Waterloo, End of the Line, Criminal Law, Queens Logic, Skum Rocks!, He Said, She Said, The Air Up There, Enormous Changes at the Last Minute, Jayne Mansfield's Car, Turn It Up!, Elephant White, A Few Good Men, New York Skyride, Tremors, Apollo 13, Sundance Skippy, Balto, Super, Stir of Echoes, Wild Things, Picture Perfect, Where the Truth Lies, White Water Summer, The Big Green, Death Sentence, She's Having a Baby, Flatliners, Songs to Keep: Treasures of an Adirondack Folk Collector"
Mary-Louise Parker,"Goodbye Lover, Jamesy Boy, The Maker, Behaving Badly, The Spiderwick Chronicles, R.I.P.D., The Best Thief in the World, Murder in Mind, Golden Exits, RED, Pipe Dream, The Assassination of Jesse James by the Coward Robert Ford, Chronically Metropolitan, Fried Green Tomatoes, The Client, Boys on the Side, Mr. Wonderful, Naked in New York"
Jimmy Smits,"Fires Within, Gross Misconduct, My Family, Switch, In the Heights, Murder in Mind, The Puerto Ricans: Our American Story, Price of Glory, Bless the Child, The Million Dollar Hotel, Old Gringo"
Patricio Contreras,"Resurrection, Nocturno, Sexo con Amor, Russian Roulette, Sleepwalker, Sueños compartidos, Old Gringo, Sal, Niñas Araña, Invocación, Hambre nunca pasé, Mecánica Popular, Alicia, Che, la eterna mirada, Kill Them All, Gerónima, Jailbreak Pact, La fuga, Crucero de placer, Surviving the 70's, Palabra por palabra, Calzones Rotos, De la misteriosa Buenos Aires, Cachimba, Made in Argentina, La Frontera, Dry Martina, La película de Francisco, La Pasión de Michelangelo, Chicas rollinga, Asesinato a distancia, Tríada, Papá se volvió loco, Ciudad del sol, The Last Harvest"
